year,country,alt,grid,laps,driver_nationality,constructor_nationality,number,q1_millsec,race_month,top_3
2009,Spain,109.0,16,17,Finnish,Italian,4,81291.0,5,no
2009,Spain,109.0,18,7,Finnish,British,2,81675.0,5,no
2009,Spain,109.0,7,0,Italian,Japanese,9,81189.0,5,no
2009,Spain,109.0,15,0,Swiss,Italian,12,81033.0,5,no
2009,Spain,109.0,17,0,French,Italian,11,81300.0,5,no
2009,Spain,109.0,19,0,German,Indian,20,81742.0,5,no
2009,Monaco,7.0,1,78,British,British,22,75210.0,5,yes
2009,Monaco,7.0,3,78,Brazilian,British,23,75425.0,5,yes
2009,Monaco,7.0,2,78,Finnish,Italian,4,75746.0,5,yes
2009,Monaco,7.0,5,78,Brazilian,Italian,3,75340.0,5,no
2009,Monaco,7.0,8,78,Australian,Austrian,14,75260.0,5,no
2009,Monaco,7.0,6,78,German,British,16,75094.0,5,no
2009,Monaco,7.0,9,78,Spanish,French,7,75898.0,5,no
2009,Monaco,7.0,14,78,French,Italian,11,76120.0,5,no
2009,Monaco,7.0,13,78,Italian,Indian,21,76063.0,5,no
2009,Monaco,7.0,20,77,German,Japanese,10,76788.0,5,no
2009,Monaco,7.0,16,77,German,German,6,76264.0,5,no
2009,Monaco,7.0,19,77,British,British,1,76264.0,5,no
2009,Monaco,7.0,18,77,Italian,Japanese,9,76548.0,5,no
2009,Monaco,7.0,15,77,German,Indian,20,76248.0,5,no
2009,Monaco,7.0,10,76,Japanese,British,17,75930.0,5,no
2009,Monaco,7.0,7,51,Finnish,British,2,75495.0,5,no
2009,Monaco,7.0,17,28,Polish,German,5,76405.0,5,no
2009,Monaco,7.0,4,15,German,Austrian,15,75915.0,5,no
2009,Monaco,7.0,12,10,Brazilian,French,8,76013.0,5,no
2009,Monaco,7.0,11,10,Swiss,Italian,12,75834.0,5,no
2009,Turkey,130.0,2,58,British,British,22,87355.0,6,yes
2009,Turkey,130.0,4,58,Australian,Austrian,14,87466.0,6,yes
2009,Turkey,130.0,1,58,German,Austrian,15,87330.0,6,yes
2009,Turkey,130.0,5,58,Italian,Japanese,9,87529.0,6,no
2009,Turkey,130.0,9,58,German,British,16,87517.0,6,no
2009,Turkey,130.0,7,58,Brazilian,Italian,3,87508.0,6,no
2009,Turkey,130.0,10,58,Polish,German,5,87788.0,6,no
2009,Turkey,130.0,13,58,German,Japanese,10,88160.0,6,no
2009,Turkey,130.0,6,58,Finnish,Italian,4,87556.0,6,no
2009,Turkey,130.0,8,58,Spanish,French,7,87988.0,6,no
2009,Turkey,130.0,11,58,German,German,6,87795.0,6,no
2009,Turkey,130.0,12,58,Japanese,British,17,87691.0,6,no
2009,Turkey,130.0,16,58,British,British,1,88318.0,6,no
2009,Turkey,130.0,14,57,Finnish,British,2,88199.0,6,no
2009,Turkey,130.0,18,57,Swiss,Italian,12,88708.0,6,no
2009,Turkey,130.0,17,57,Brazilian,French,8,88582.0,6,no
2009,Turkey,130.0,15,57,German,Indian,20,88278.0,6,no
2009,Turkey,130.0,20,57,French,Italian,11,88918.0,6,no
2009,Turkey,130.0,3,47,Brazilian,British,23,87371.0,6,no
2009,Turkey,130.0,19,4,Italian,Indian,21,88717.0,6,no
2009,UK,153.0,1,60,German,Austrian,15,78685.0,6,yes
2009,UK,153.0,3,60,Australian,Austrian,14,78674.0,6,yes
2009,UK,153.0,2,60,Brazilian,British,23,79325.0,6,yes
2009,UK,153.0,11,60,Brazilian,Italian,3,79148.0,6,no
2009,UK,153.0,7,60,German,British,16,79228.0,6,no
2009,UK,153.0,6,60,British,British,22,78957.0,6,no
2009,UK,153.0,4,60,Italian,Japanese,9,78886.0,6,no
2009,UK,153.0,9,60,Finnish,Italian,4,79010.0,6,no
2009,UK,153.0,8,60,German,Japanese,10,79198.0,6,no
2009,UK,153.0,16,60,Italian,Indian,21,79802.0,6,no
2009,UK,153.0,5,60,Japanese,British,17,78530.0,6,no
2009,UK,153.0,14,59,Brazilian,French,8,79555.0,6,no
2009,UK,153.0,12,59,Polish,German,5,79730.0,6,no
2009,UK,153.0,10,59,Spanish,French,7,79167.0,6,no
2009,UK,153.0,15,59,German,German,6,79559.0,6,no
2009,UK,153.0,18,59,British,British,1,79917.0,6,no
2009,UK,153.0,20,59,German,Indian,20,79909.0,6,no
2009,UK,153.0,19,59,Swiss,Italian,12,80236.0,6,no
2009,UK,153.0,17,37,French,Italian,11,79898.0,6,no
2009,UK,153.0,13,36,Finnish,British,2,79732.0,6,no
2009,Germany,578.0,1,60,Australian,Austrian,14,91257.0,7,yes
